Disease,Measure,No. Joinpoints,Segments (Period: APC)
Enteric Infections,Incidence,3,1990-1995 (APC -24.14%); 1995-2002 (APC +5.77%); 2002-2015 (APC -21.49%); 2015-2023 (APC +20.71%)
Enteric Infections,Mortality,3,1990-1999 (APC +2.34%); 1999-2004 (APC +10.73%); 2004-2011 (APC +0.31%); 2011-2023 (APC -4.61%)
Enteric Infections,DALYs,3,1990-1993 (APC -9.59%); 1993-2002 (APC +1.14%); 2002-2020 (APC -4.50%); 2020-2023 (APC +3.90%)
Lower Respiratory Infections,Incidence,3,1990-1995 (APC +1.82%); 1995-2002 (APC -2.72%); 2002-2011 (APC +0.23%); 2011-2023 (APC -3.39%)
Lower Respiratory Infections,Mortality,2,1990-1998 (APC -0.93%); 1998-1999 (APC -15.94%); 1999-2023 (APC -1.94%)
Lower Respiratory Infections,DALYs,3,1990-1998 (APC -2.56%); 1998-1999 (APC -10.49%); 1999-2021 (APC -1.91%); 2021-2023 (APC +5.21%)
Upper Respiratory Infections,Incidence,3,1990-2001 (APC +0.23%); 2001-2014 (APC -1.39%); 2014-2021 (APC +0.28%); 2021-2023 (APC +4.89%)
Upper Respiratory Infections,Mortality,3,1990-2000 (APC -9.50%); 2000-2015 (APC -0.76%); 2015-2019 (APC -3.63%); 2019-2023 (APC +2.48%)
Upper Respiratory Infections,DALYs,3,1990-2002 (APC -0.08%); 2002-2014 (APC -1.33%); 2014-2021 (APC +0.22%); 2021-2023 (APC +4.63%)
NTD & Malaria,Incidence,0,1990-2023 (APC +3.25%)
NTD & Malaria,Mortality,3,1990-1999 (APC -2.26%); 1999-2003 (APC +13.22%); 2003-2009 (APC -1.29%); 2009-2023 (APC +1.69%)
NTD & Malaria,DALYs,3,1990-1996 (APC -1.24%); 1996-2004 (APC +1.13%); 2004-2009 (APC -0.98%); 2009-2023 (APC +0.04%)
