Disease,Measure,Joinpoints,Period,APC,Direction,Note
Enteric Infections,Incidence,3,1990-1995,-24.14%,Decreasing,
,,,1995-2002,+5.77%,Increasing,
,,,2002-2015,-21.49%,Decreasing,
,,,2015-2023,+20.71%,Increasing,Recent upturn
Enteric Infections,Mortality,3,1990-1999,+2.34%,Increasing,
,,,1999-2004,+10.73%,Increasing,
,,,2004-2011,+0.31%,Increasing,
,,,2011-2023,-4.61%,Decreasing,
Enteric Infections,DALYs,3,1990-1993,-9.59%,Decreasing,
,,,1993-2002,+1.14%,Increasing,
,,,2002-2020,-4.50%,Decreasing,
,,,2020-2023,+3.90%,Increasing,
Lower Respiratory Infections,Incidence,3,1990-1995,+1.82%,Increasing,
,,,1995-2002,-2.72%,Decreasing,
,,,2002-2011,+0.23%,Increasing,
,,,2011-2023,-3.39%,Decreasing,
Lower Respiratory Infections,Mortality,2,1990-1998,-0.93%,Decreasing,
,,,1998-1999,-15.94%,Decreasing,Sharp decline (PCV era)
,,,1999-2023,-1.94%,Decreasing,
Lower Respiratory Infections,DALYs,3,1990-1998,-2.56%,Decreasing,
,,,1998-1999,-10.49%,Decreasing,Sharp decline (PCV era)
,,,1999-2021,-1.91%,Decreasing,
,,,2021-2023,+5.21%,Increasing,
Upper Respiratory Infections,Incidence,3,1990-2001,+0.23%,Increasing,
,,,2001-2014,-1.39%,Decreasing,
,,,2014-2021,+0.28%,Increasing,
,,,2021-2023,+4.89%,Increasing,
Upper Respiratory Infections,Mortality,3,1990-2000,-9.50%,Decreasing,
,,,2000-2015,-0.76%,Decreasing,
,,,2015-2019,-3.63%,Decreasing,
,,,2019-2023,+2.48%,Increasing,
Upper Respiratory Infections,DALYs,3,1990-2002,-0.08%,Decreasing,
,,,2002-2014,-1.33%,Decreasing,
,,,2014-2021,+0.22%,Increasing,
,,,2021-2023,+4.63%,Increasing,
NTD & Malaria,Incidence,0,1990-2023,+3.25%,Increasing,No inflection — gradual signal
NTD & Malaria,Mortality,3,1990-1999,-2.26%,Decreasing,
,,,1999-2003,+13.22%,Increasing,
,,,2003-2009,-1.29%,Decreasing,
,,,2009-2023,+1.69%,Increasing,
NTD & Malaria,DALYs,3,1990-1996,-1.24%,Decreasing,
,,,1996-2004,+1.13%,Increasing,
,,,2004-2009,-0.98%,Decreasing,
,,,2009-2023,+0.04%,Increasing,
