Disease,Measure,No. Joinpoints,Segment (Period),APC (%),Direction
Enteric infections,Incidence,3,Segment 1 (1990-1995),-24.14,Decreasing
Enteric infections,Incidence,3,Segment 2 (1995-2002),+5.77,Increasing
Enteric infections,Incidence,3,Segment 3 (2002-2015),-21.49,Decreasing
Enteric infections,Incidence,3,Segment 4 (2015-2023),+20.71,Increasing
Enteric infections,Mortality,3,Segment 1 (1990-1999),+2.34,Increasing
Enteric infections,Mortality,3,Segment 2 (1999-2004),+10.73,Increasing
Enteric infections,Mortality,3,Segment 3 (2004-2011),+0.31,Increasing
Enteric infections,Mortality,3,Segment 4 (2011-2023),-4.61,Decreasing
Enteric infections,DALYs,3,Segment 1 (1990-1993),-9.59,Decreasing
Enteric infections,DALYs,3,Segment 2 (1993-2002),+1.14,Increasing
Enteric infections,DALYs,3,Segment 3 (2002-2020),-4.50,Decreasing
Enteric infections,DALYs,3,Segment 4 (2020-2023),+3.90,Increasing
Lower respiratory infections,Incidence,3,Segment 1 (1990-1995),+1.82,Increasing
Lower respiratory infections,Incidence,3,Segment 2 (1995-2002),-2.72,Decreasing
Lower respiratory infections,Incidence,3,Segment 3 (2002-2011),+0.23,Increasing
Lower respiratory infections,Incidence,3,Segment 4 (2011-2023),-3.39,Decreasing
Lower respiratory infections,Mortality,2,Segment 1 (1990-1998),-0.93,Decreasing
Lower respiratory infections,Mortality,2,Segment 2 (1998-1999),-15.94,Decreasing
Lower respiratory infections,Mortality,2,Segment 3 (1999-2023),-1.94,Decreasing
Lower respiratory infections,DALYs,3,Segment 1 (1990-1998),-2.56,Decreasing
Lower respiratory infections,DALYs,3,Segment 2 (1998-1999),-10.49,Decreasing
Lower respiratory infections,DALYs,3,Segment 3 (1999-2021),-1.91,Decreasing
Lower respiratory infections,DALYs,3,Segment 4 (2021-2023),+5.21,Increasing
Upper respiratory infections,Incidence,3,Segment 1 (1990-2001),+0.23,Increasing
Upper respiratory infections,Incidence,3,Segment 2 (2001-2014),-1.39,Decreasing
Upper respiratory infections,Incidence,3,Segment 3 (2014-2021),+0.28,Increasing
Upper respiratory infections,Incidence,3,Segment 4 (2021-2023),+4.89,Increasing
Upper respiratory infections,Mortality,3,Segment 1 (1990-2000),-9.50,Decreasing
Upper respiratory infections,Mortality,3,Segment 2 (2000-2015),-0.76,Decreasing
Upper respiratory infections,Mortality,3,Segment 3 (2015-2019),-3.63,Decreasing
Upper respiratory infections,Mortality,3,Segment 4 (2019-2023),+2.48,Increasing
Upper respiratory infections,DALYs,3,Segment 1 (1990-2002),-0.08,Decreasing
Upper respiratory infections,DALYs,3,Segment 2 (2002-2014),-1.33,Decreasing
Upper respiratory infections,DALYs,3,Segment 3 (2014-2021),+0.22,Increasing
Upper respiratory infections,DALYs,3,Segment 4 (2021-2023),+4.63,Increasing
Neglected tropical diseases and malaria,Incidence,0,Segment 1 (1990-2023),+3.25,Increasing
Neglected tropical diseases and malaria,Mortality,3,Segment 1 (1990-1999),-2.26,Decreasing
Neglected tropical diseases and malaria,Mortality,3,Segment 2 (1999-2003),+13.22,Increasing
Neglected tropical diseases and malaria,Mortality,3,Segment 3 (2003-2009),-1.29,Decreasing
Neglected tropical diseases and malaria,Mortality,3,Segment 4 (2009-2023),+1.69,Increasing
Neglected tropical diseases and malaria,DALYs,3,Segment 1 (1990-1996),-1.24,Decreasing
Neglected tropical diseases and malaria,DALYs,3,Segment 2 (1996-2004),+1.13,Increasing
Neglected tropical diseases and malaria,DALYs,3,Segment 3 (2004-2009),-0.98,Decreasing
Neglected tropical diseases and malaria,DALYs,3,Segment 4 (2009-2023),+0.04,Increasing
