cause_name,measure_name,sex_name,EAPC,CI_lower,CI_upper,p_value,EAPC_formatted,significance,trend
Enteric infections,DALYs (Disability-Adjusted Life Years),Both,-4.088299016253294,-4.486928644163202,-3.6880056832819474,2.0309462172033315e-19,"-4.09 (-4.49, -3.69)",***,Decreasing ↓
Enteric infections,DALYs (Disability-Adjusted Life Years),Female,-3.8733906779758187,-4.25485583777726,-3.490405695217136,2.6325455724477487e-19,"-3.87 (-4.25, -3.49)",***,Decreasing ↓
Enteric infections,DALYs (Disability-Adjusted Life Years),Male,-4.252165133048558,-4.686333876431769,-3.8160186827383535,8.167749628691708e-19,"-4.25 (-4.69, -3.82)",***,Decreasing ↓
Enteric infections,Deaths,Both,-2.8447356272050417,-3.2958164586542216,-2.3915507097789224,1.562559826931335e-13,"-2.84 (-3.30, -2.39)",***,Decreasing ↓
Enteric infections,Deaths,Female,-2.4239999253985234,-2.8661243279704096,-1.9798631045431336,5.467431136098288e-12,"-2.42 (-2.87, -1.98)",***,Decreasing ↓
Enteric infections,Deaths,Male,-3.151388376668829,-3.6414873142229576,-2.6587966965235688,9.789340390069245e-14,"-3.15 (-3.64, -2.66)",***,Decreasing ↓
Enteric infections,Incidence,Both,-10.045393665456226,-11.777927629570195,-8.278835631671754,4.538920731224954e-12,"-10.05 (-11.78, -8.28)",***,Decreasing ↓
Enteric infections,Incidence,Female,-10.041977662628954,-11.77123419004965,-8.27882824199847,4.3605441030480974e-12,"-10.04 (-11.77, -8.28)",***,Decreasing ↓
Enteric infections,Incidence,Male,-10.04817426214869,-11.784834931722965,-8.277324569871658,4.790309537570702e-12,"-10.05 (-11.78, -8.28)",***,Decreasing ↓
Lower respiratory infections,DALYs (Disability-Adjusted Life Years),Both,-2.82577775296482,-3.1231890750356817,-2.527453379631728,1.5648101849420394e-18,"-2.83 (-3.12, -2.53)",***,Decreasing ↓
Lower respiratory infections,DALYs (Disability-Adjusted Life Years),Female,-2.981039046793954,-3.2506977042931817,-2.710628799465764,1.792348103374864e-20,"-2.98 (-3.25, -2.71)",***,Decreasing ↓
Lower respiratory infections,DALYs (Disability-Adjusted Life Years),Male,-2.707617193379974,-3.0366868937048097,-2.3774307112105153,9.896550592160409e-17,"-2.71 (-3.04, -2.38)",***,Decreasing ↓
Lower respiratory infections,Deaths,Both,-2.8057055266000774,-3.104782765152625,-2.5057051548199816,2.2638836513448127e-18,"-2.81 (-3.10, -2.51)",***,Decreasing ↓
Lower respiratory infections,Deaths,Female,-2.9585889200027693,-3.2298934107720445,-2.6865238004680103,2.6876269612818723e-20,"-2.96 (-3.23, -2.69)",***,Decreasing ↓
Lower respiratory infections,Deaths,Male,-2.6889377343656817,-3.019517012007167,-2.3572316046459485,1.3694648354067478e-16,"-2.69 (-3.02, -2.36)",***,Decreasing ↓
Lower respiratory infections,Incidence,Both,-1.7234729471469867,-1.961597344845989,-1.484770171717975,3.110914966494347e-15,"-1.72 (-1.96, -1.48)",***,Decreasing ↓
Lower respiratory infections,Incidence,Female,-1.7223565545618214,-1.9524794127849354,-1.491693585486742,1.223672195970505e-15,"-1.72 (-1.95, -1.49)",***,Decreasing ↓
